idcentro,latitud,localidad,longitud,naturaleza,nombre,tipo
44005104,40.94654660,Calanda,-0.23667449,Público,Valle Del Guadalope,Instituto de Educación Secundaria (IES)
44005116,40.24610121,Mora De Rubielos,-0.74873397,Público,Gúdar-Javalambre,Instituto de Educación Secundaria (IES)
44005165,40.88437822,Poyo Del Cid (El),-1.33403370,Público,C.R.A. El Poyo Del Cid,Colegio Público
44005189,40.16437253,Libros,-1.23305676,Público,C.R.A. De Libros,Colegio Público
44005190,40.52298054,Cantavieja,-0.40440886,Público,Sección Del I.E.S.  Segundo De Chomón,Instituto de Educación Secundaria (IES)
44005219,40.79050719,Monreal Del Campo,-1.35258499,Público,Escuela  De Música,Escuela Pública de Música y/o Danza
44010011,40.34331618,Teruel,-1.10762433,Concertado,Escuela Sup. De Hostelería De Aragón,Centro Privado de Formación Profesional Específica
44010021,40.79050719,Monreal Del Campo,-1.35258499,Público,Extensión De E.O.I.,Escuela Oficial de Idiomas (EOI)
44010033,40.81530164,Utrillas,-0.85038875,Público,Extensión De E.O.I.,Escuela Oficial de Idiomas (EOI)
44010045,40.92171221,Calamocha,-1.29544652,Público,Extensión De E.O.I.,Escuela Oficial de Idiomas (EOI)
44010057,40.33675129,Teruel,-1.10700322,Privado,El Ensanche,Centro Privado de Educación Infantil
50000163,41.77291379,Alagon,-1.12497244,Público,Conde  Aranda,Instituto de Educación Secundaria (IES)
50000291,41.61639436,Alfajarin,-0.70588459,Público,Brianda de Luna,Colegio Público
50000370,41.47461818,Almunia De Doña Godina (La),-1.37218055,Público,C.E.I.P. Nertóbriga,Colegio Público
50000436,41.42410187,Alpartir,-1.37936029,Público,Ramón Y Cajal,Colegio Público
50000618,41.32989786,Ateca,-1.79429123,Público,Virgen De La Peana,Colegio Público
50000722,41.30933657,Belchite,-0.74989536,Público,Belia,Colegio Público
50000734,41.30712711,Belchite,-0.75149840,Privado,San Rafael,Centro Privado de Educación Infantil
50000850,41.83212333,Borja,-1.53391078,Público,Campo De Borja,Colegio Público
50000862,41.83330917,Borja,-1.53482354,Concertado,Santa Ana,Centro Privado con varias Enseñanzas de Régimen General
50000874,41.83372513,Borja,-1.52938547,Público,Juan De Lanuza,Instituto de Educación Secundaria (IES)
50000904,41.52359616,Brea De Aragon,-1.59862953,Público,Diputación Provincial,Colegio Público
50001064,41.33133931,Calatayud,-1.64568580,Público,Baltasar Gracián,Colegio Público
50001076,41.34893556,Calatayud,-1.63790602,Público,Francisco De Goya,Colegio Público
44004306,40.32904721,Teruel,-1.09560713,Público,La Fuenfresca,Colegio Público
44004318,40.33222124,Teruel,-1.10659747,Público,Escuela Oficial De Idiomas,Escuela Oficial de Idiomas (EOI)
44004483,40.05906025,Manzanera,-0.82885541,Público,C.R.A. Javalambre,Colegio Público
50018431,41.68693194,Zaragoza,-0.87542948,Privado,CUÉNTAME,Centro Privado de Educación Infantil
44004550,40.81511193,Utrillas,-0.85265536,Público,Fernando Lázaro Carreter,Instituto de Educación Secundaria (IES)
44004562,40.97758754,Andorra,-0.45925709,Público,Manuel Franco Royo,Colegio Público
44004604,40.97573424,Andorra,-0.44510031,Público,Universidad Popular De Andorra,Escuela Pública de Música y/o Danza
44004616,40.36129592,Mosqueruela,-0.44718997,Público,C.R.A. Maestrazgo Gudar,Colegio Público
44004689,40.83834192,Caminreal,-1.32545096,Público,C.R.A. Goya,Colegio Público
44004690,40.52397534,Cantavieja,-0.40467027,Público,C.R.A. Alto Maestrazgo,Colegio Público
44004719,40.43626856,Cedrillas,-0.85096370,Público,C.R.A Palmira Plá,Colegio Público
44004720,41.03098889,Ariño,-0.59497469,Público,C.R.A. Ariño-Alloza,Colegio Público
44004744,40.92524469,Fresneda (La),0.07605932,Público,Cra. De La Fresneda,Colegio Público
44004768,40.84552703,Martin Del Rio,-0.89243809,Público,C.R.A. De Martín Del Río,Colegio Público
44004793,40.40954571,Albarracin,-1.43195076,Público,C.R.A. De Albarracín,Colegio Público
44004801,41.21906141,Puebla De Hijar (La),-0.44291526,Público,C.R.A. Bajo Martín,Colegio Público
44004951,40.45297134,Cella,-1.28643576,Público,C.P.E.P.A. De Cella,Centro Público de Educación de Personas Adultas (Presenc
44004963,40.79092592,Monreal Del Campo,-1.35270145,Público,Aula De Monreal Del Campo,Centro Público de Educación de Personas Adultas (Presenc
44005062,41.01421723,Calaceite,0.18669866,Público,C.R.A. Matarranya,Colegio Público
44005074,40.56624484,Santa Eulalia,-1.31717539,Público,C.R.A. Cuna del Jiloca,Colegio Público
50002019,41.60757286,Epila,-1.29769562,Privado,E.F.A. Montarrón,Centro Privado de Formación Profesional Específica
50007017,41.63600258,Zaragoza,-0.88040467,Concertado,María  Auxiliadora,Centro Privado con varias Enseñanzas de Régimen General
50007042,41.63505834,Zaragoza,-0.88615968,Concertado,La Milagrosa,Centro Privado con varias Enseñanzas de Régimen General
50007066,41.62689807,Zaragoza,-0.90492185,Privado,Montearagón,Centro Privado con varias Enseñanzas de Régimen General
50001121,41.35055086,Calatayud,-1.63917703,Concertado,Santa Ana,Centro Privado con varias Enseñanzas de Régimen General
50000412,41.47912323,Almunia De Doña Godina (La),-1.37741807,Concertado,Salesianos Laviaga-Castillo,Centro Privado de Educación Secundaria
50001167,41.35494898,Calatayud,-1.63908510,Público,IES Leonardo de Chabacier,Instituto de Educación Secundaria (IES)
50001301,41.33900609,Cariñena,-1.22734022,Público,Santo Cristo De Santiago,Colegio Público
50001350,41.23547782,Caspe,-0.03739419,Público,Compromiso De Caspe,Colegio Público
50001362,41.23808785,Caspe,-0.04201473,Concertado,Santa Ana,Centro Privado con varias Enseñanzas de Régimen General
50001738,41.11440391,Daroca,-1.41022013,Público,Puerta De Zaragoza,Residencia
50001763,42.12536927,Ejea De Los Caballeros,-1.13716848,Público,Cervantes,Colegio Público
50001829,42.11627434,Ejea De Los Caballeros,-1.14338275,Concertado,E.F.A. Boalares,Centro Privado de Formación Profesional Específica
50001830,42.12853310,Ejea De Los Caballeros,-1.12635041,Público,Reyes Católicos,Instituto de Educación Secundaria (IES)
50002007,41.59697782,Epila,-1.27666041,Público,Gaspar Remiro,Colegio Público
44003259,40.35185916,Teruel,-1.11315303,Público,La Arboleda,Colegio Público de Educación Especial
44003260,40.35325972,Teruel,-1.11544035,Público,Escuela Hogar de Teruel,Residencia
44003284,40.34323218,Teruel,-1.10778114,Público,Escuela De Arte De Teruel,Escuela de Arte
44003636,40.81295007,Utrillas,-0.84463396,Público,Villa de Utrillas,Colegio Público
44003715,40.87312085,Valderrobres,0.15426740,Público,Vicente Ferrer Ramos,Colegio Público
44003727,40.87514420,Valderrobres,0.15421190,Privado,María Inmaculada,Centro Privado de Educación Infantil
44004045,40.92171221,Calamocha,-1.29544652,Público,Valle Del Jiloca,Instituto de Educación Secundaria (IES)
44004082,40.52298054,Cantavieja,-0.40440886,Público,E.H. En C.R.I.E.T.,Residencia
44004124,40.35025163,Teruel,-1.10970285,Público,Isabel De Segura,Centro Público de Educación de Personas Adultas (Presenc
44004148,40.97455878,Andorra,-0.44878296,Público,Gloria Fuertes,Colegio Público de Educación Especial
44004173,40.34396658,Teruel,-1.10860323,Público,Conservatorio Profesional de Música de Teruel,Conservatorio de Música o Danza
44004239,41.17178702,Hijar,-0.45214864,Público,Pedro Laín Entralgo,Instituto de Educación Secundaria (IES)
50011537,41.63046877,Zaragoza,-0.89871526,Público,Rincón De Goya,Colegio Público de Educación Especial
50011574,41.66192243,Zaragoza,-0.88254612,Privado,Cpa-Salduie,Centro Privado de Formación Profesional Específica
50011653,41.65207996,Zaragoza,-0.90777299,Privado,Rubinsteín,Centro Privado de Música o Danza
50006669,41.68674459,Zaragoza,-0.86883947,Concertado,Cristo Rey,Centro Privado con varias Enseñanzas de Régimen General
50006724,41.61783106,Zaragoza,-0.90752181,Privado,Liceo Europa,Centro Privado con varias Enseñanzas de Régimen General
50006736,41.66212399,Zaragoza,-0.88252161,Privado,College Moliere,Centro Docente Privado Extranjero en España
50006955,41.62631924,Zaragoza,-0.89247515,Privado,Lestonnac,Centro Privado con varias Enseñanzas de Régimen General
50008915,41.69932568,Zaragoza,-0.86743598,Privado,San Germán,Centro Privado de Educación  Especial
